cluster,rank,feature,z_score
0,1,cand_shock_index,1.869337461901557
0,2,cand_news_total,1.7590666217580264
0,3,triage_hr_above_120,1.71892455258778
0,4,cand_news_temp,1.667580466930484
0,5,triage_temperature_c,1.6546665572205614
0,6,cand_news_spo2,1.6337108456694092
0,7,cand_mod_shock_index,1.602267527570966
0,8,triage_temp_above_38,1.5713175815561462
0,9,triage_respiratory_rate,1.5302332747773388
0,10,triage_lab_anion_gap,1.524606943008622
0,11,triage_esi,-1.5077256585249534
0,12,triage_snapshot.oxygen_saturation,-1.4840505423147423
1,1,festival_note_keyword_hit,-1.5041608956491348
1,2,note_is_festival_template,-1.5041608956491348
1,3,note_location_none,1.5041608956491332
1,4,is_festival_patient,-1.502194649414685
1,5,note_has_onset_phrase,-1.235935279083139
1,6,note_onset_bucket_unknown,1.235935279083139
1,7,note_char_len,-0.838506451622619
1,8,cand_sympathetic_score,-0.78719262489493
1,9,cand_news_high_risk,-0.7723405525817931
1,10,cand_news_hr,-0.7670764134853001
1,11,cand_news_total,-0.7502415807974666
1,12,cand_hr_temp_product,-0.7500924198120302
2,1,triage_ag_below_12,0.7284997101037982
2,2,cand_high_anion_gap,-0.7284997101037982
2,3,cand_poc_abn_count,-0.6701567846502899
2,4,festival_note_keyword_hit,0.6648224953145333
2,5,note_is_festival_template,0.6648224953145333
2,6,note_location_none,-0.6648224953145332
2,7,triage_gcs,0.6543082949454712
2,8,is_festival_patient,0.652862549237374
2,9,cand_news_total,-0.626129811448351
2,10,triage_lab_anion_gap,-0.6197703138067756
2,11,triage_sympathomimetic_combo,-0.6172133998483673
2,12,triage_esi,0.614380897094449
3,1,cand_news_high_risk,0.9374821099050827
3,2,triage_ag_below_12,-0.8716132626212328
3,3,cand_high_anion_gap,0.8716132626212328
3,4,triage_gcs,-0.652278802715491
3,5,cand_sympathetic_score,0.6282480304027718
3,6,cand_news_rr,0.6190692022917039
3,7,triage_esi,-0.582071222085437
3,8,cand_news_gcs,0.5632343402509049
3,9,cand_news_hr,0.5340813762725994
3,10,is_festival_patient,0.4910419173751179
3,11,triage_lab_anion_gap,0.47874425033308365
3,12,festival_note_keyword_hit,0.46399069985493524
4,1,cand_onset_x_news,2.3236925950199594
4,2,cand_onset_x_hr,2.191232543998206
4,3,note_onset_bucket_fast,2.0166666666666666
4,4,cand_log_onset,-1.7638533761229886
4,5,cand_rate_pressure_product,1.7200416372862821
4,6,triage_temp_above_38,1.6401378743448014
4,7,cand_news_temp,1.5904999749070838
4,8,cand_sympathetic_score,1.583229107014624
4,9,cand_news_spo2,1.453525533598912
4,10,cand_news_total,1.4338673100433041
4,11,cand_hr_temp_product,1.422446065308652
4,12,triage_heart_rate,1.4052714268819688
