table,column,dtype,n,n_missing,pct_missing,n_unique,top_value,top_value_count,mean,std,min,q25,median,q75,max
triage,encounter_id,str,139,0,0.0,139,E001900,1.0,,,,,,,
triage,encounter_arrival_date,str,139,0,0.0,5,2026-05-14,47.0,,,,,,,
triage,triage_heart_rate,float64,139,0,0.0,125,,,105.45611510791367,23.382057146291707,65.4,87.4,101.3,122.2,162.2
triage,triage_respiratory_rate,float64,139,0,0.0,112,,,23.102158273381296,7.216832855728448,8.1,17.1,22.6,28.1,40.8
triage,triage_snapshot.systolic_bp,float64,139,0,0.0,120,,,116.8776978417266,15.001521870456274,81.2,106.15,117.0,125.7,163.9
triage,triage_snapshot.diastolic_bp,float64,139,0,0.0,113,,,72.68489208633095,8.53005694859309,50.0,66.69999999999999,73.7,79.0,96.9
triage,triage_snapshot.oxygen_saturation,float64,139,0,0.0,65,,,95.25179856115108,2.1310116165457638,90.0,93.7,95.4,96.9,99.8
triage,triage_supplemental_oxygen,int64,139,0,0.0,2,,,0.3669064748201439,0.4837037794581729,0.0,0.0,0.0,1.0,1.0
triage,triage_temperature_c,float64,139,0,0.0,105,,,37.59345323741007,0.6315620297604153,36.07,37.13,37.5,38.075,39.2
triage,triage_gcs,int64,139,0,0.0,9,,,12.29496402877698,1.8667698111128221,7.0,11.0,12.0,14.0,15.0
triage,triage_age,int64,139,0,0.0,49,,,36.410071942446045,15.366447992552809,14.0,25.0,33.0,48.0,75.0
triage,triage_sex_gender,str,139,0,0.0,3,Female,68.0,,,,,,,
triage,triage_race_ethnicity,str,139,0,0.0,6,White,66.0,,,,,,,
triage,triage_brief_note,str,139,0,0.0,138,Nausea/vomiting. Festival attendee from beach shuttle stop with symptom onset ~118 minutes before arrival.,2.0,,,,,,,
triage,triage_esi,int64,139,0,0.0,5,,,3.41726618705036,1.1911465708588047,1.0,2.0,4.0,4.0,5.0
triage,triage_pain_scale,int64,139,0,0.0,11,,,5.294964028776978,2.668803231244764,0.0,3.0,5.0,7.0,10.0
triage,triage_mode_of_arrival,str,139,0,0.0,4,Walk-in,62.0,,,,,,,
triage,triage_mh_psych,int64,139,0,0.0,2,,,0.22302158273381295,0.41777820666663884,0.0,0.0,0.0,0.0,1.0
triage,triage_mh_cardiac,int64,139,0,0.0,2,,,0.18705035971223022,0.3913622682141876,0.0,0.0,0.0,0.0,1.0
triage,triage_mh_pulm,int64,139,0,0.0,2,,,0.15827338129496402,0.366317214354836,0.0,0.0,0.0,0.0,1.0
triage,triage_mh_renal,int64,139,0,0.0,2,,,0.1223021582733813,0.32881940011784405,0.0,0.0,0.0,0.0,1.0
triage,triage_mh_substance_use,int64,139,0,0.0,2,,,0.19424460431654678,0.3970488569529349,0.0,0.0,0.0,0.0,1.0
triage,triage_lab_glucose,float64,139,0,0.0,133,,,114.04748201438849,21.8690381720442,70.7,97.1,112.1,128.35,169.6
triage,triage_lab_ph,float64,139,0,0.0,100,,,7.357568345323741,0.04968306076473501,7.243,7.3245000000000005,7.357,7.3895,7.462
triage,triage_lab_sodium,float64,139,0,0.0,80,,,138.0769784172662,3.139424773000289,130.2,135.85000000000002,137.7,140.5,145.9
triage,triage_lab_potassium,float64,139,0,0.0,93,,,4.4048201438848915,0.4456559284333658,2.96,4.115,4.41,4.695,5.66
triage,triage_lab_hemoglobin,float64,139,0,0.0,59,,,13.746043165467624,1.631406709927265,9.3,12.75,13.7,14.9,17.7
triage,triage_lab_anion_gap,float64,139,0,0.0,87,,,11.929496402877696,3.6943641612795006,4.0,9.350000000000001,11.6,14.5,21.6
triage,is_festival_patient,int64,139,0,0.0,2,,,0.7266187050359713,0.44730684270603804,0.0,0.0,1.0,1.0,1.0
triage,festival_note_keyword_hit,int64,139,0,0.0,2,,,0.7266187050359713,0.44730684270603804,0.0,0.0,1.0,1.0,1.0
triage,arrival_day_of_festival,int64,139,0,0.0,5,,,360.50359712230215,1.3371725562578116,358.0,360.0,361.0,362.0,362.0
