column,phase1_n,phase2_n,phase1_mean,phase2_mean,delta_mean,phase1_median,phase2_median,cohen_d,table
arrival_day_of_festival,261,139,2.3563218390804597,360.50359712230215,358.1472752832217,3.0,361.0,256.39031899391875,triage
triage_gcs,261,139,12.78544061302682,12.29496402877698,-0.49047658424984064,13.0,12.0,-0.2914867585635361,triage
triage_supplemental_oxygen,261,139,0.23754789272030652,0.3669064748201439,0.12935858209983736,0.0,0.0,0.2893276503494815,triage
note_location_other,261,139,0.1839080459770115,0.2949640287769784,0.11105598279996692,0.0,0.0,0.2685203887056644,triage
cand_news_gcs,261,139,1.6896551724137931,1.920863309352518,0.23120813693872488,2.0,2.0,0.23121058692171015,triage
triage_snapshot.systolic_bp,261,139,120.39885057471264,116.8776978417266,-3.521152732986039,119.7,117.0,-0.22649787002825575,triage
triage_chief_palpitations,261,139,0.11494252873563218,0.050359712230215826,-0.06458281650541636,0.0,0.0,-0.22361177421772727,triage
cand_map,261,139,89.07803320561942,87.41582733812949,-1.6622058674899307,89.2,87.1,-0.2145146136024551,triage
cand_shock_index,261,139,0.8711401944650446,0.9228546759468523,0.051714481481807684,0.8177121771217712,0.8875838926174496,0.2061340031755809,triage
cand_mod_shock_index,261,139,1.168024357787227,1.2197124782242605,0.051688120437033636,1.1083686849209409,1.1774580335731415,0.16757757364342918,triage
cand_pulse_pressure,261,139,46.98122605363985,44.19280575539568,-2.7884202982441693,47.6,43.10000000000001,-0.15871937863637098,triage
cand_news_hr,261,139,1.0881226053639848,1.2517985611510791,0.16367595578709437,1.0,1.0,0.1533912290387915,triage
cand_news_total,261,139,5.7011494252873565,6.366906474820144,0.6657570495327878,4.0,6.0,0.15095913871924066,triage
triage_hr_above_120,261,139,0.21839080459770116,0.2805755395683453,0.06218473497064414,0.0,0.0,0.14558923509351157,triage
cand_news_sbp,261,139,0.3793103448275862,0.48201438848920863,0.10270404366162245,0.0,0.0,0.13564871697088482,triage
cand_k_extreme,261,139,0.13793103448275862,0.09352517985611511,-0.04440585462664351,0.0,0.0,-0.1353833499249344,triage
cand_news_high_risk,261,139,0.4942528735632184,0.5611510791366906,0.0668982055734722,0.0,1.0,0.1338155130692445,triage
cand_onset_x_hr,200,109,1.3294721308835777,1.1577252845527628,-0.17174684633081494,0.837099927961305,0.7823529411764706,-0.13114225937417262,triage
cand_onset_x_news,200,109,0.09058956293604384,0.0752152461527522,-0.015374316783291639,0.041804997378997,0.0518134715025906,-0.1304770083603119,triage
triage_mh_substance_use,261,139,0.24904214559386972,0.19424460431654678,-0.05479754127732295,0.0,0.0,-0.13013669164327438,triage
cand_acidosis,261,139,0.3831417624521073,0.4460431654676259,0.06290140301551861,0.0,0.0,0.12805478441956933,triage
triage_ph_above_735,261,139,0.6168582375478927,0.5539568345323741,-0.06290140301551861,1.0,1.0,-0.12805478441956933,triage
triage_mh_pulm,261,139,0.20689655172413793,0.15827338129496402,-0.04862317042917391,0.0,0.0,-0.12384919832475556,triage
triage_ag_above_20,261,139,0.034482758620689655,0.014388489208633094,-0.02009426941205656,0.0,0.0,-0.12277707031016427,triage
note_location_main_stage,261,139,0.24521072796934865,0.19424460431654678,-0.05096612365280187,0.0,0.0,-0.12147367093275925,triage
triage_glucose_above_140,261,139,0.15708812260536398,0.11510791366906475,-0.041980208936299224,0.0,0.0,-0.11998941062328788,triage
triage_heart_rate,261,139,102.79578544061303,105.45611510791367,2.660329667300644,98.7,101.3,0.11352029830968892,triage
cand_hr_temp_product,261,139,3873.83714559387,3976.421035971223,102.58389037735287,3667.665,3807.089,0.10872205951130648,triage
note_word_count,261,139,13.28352490421456,13.568345323741006,0.2848204195264472,13.0,14.0,0.10837168323596262,triage
cand_log_onset,200,109,4.724007576670256,4.7919268143386216,0.06791923766836572,4.844156085435547,4.948759890378168,0.10442974157858459,triage
triage_lab_ph,261,139,7.363015325670498,7.357568345323741,-0.005446980346757613,7.37,7.357,-0.10306577481756854,triage
triage_esi,261,139,3.5440613026819925,3.41726618705036,-0.1267951156316327,4.0,4.0,-0.1010576082379894,triage
triage_lab_hemoglobin,261,139,13.891187739463602,13.746043165467624,-0.14514457399597802,13.9,13.7,-0.0946679611877907,triage
triage_ag_below_12,261,139,0.578544061302682,0.5323741007194245,-0.04616996058325751,1.0,1.0,-0.09292822902449642,triage
cand_high_anion_gap,261,139,0.421455938697318,0.4676258992805755,0.04616996058325751,0.0,0.0,0.09292822902449642,triage
triage_lab_sodium,261,139,137.79540229885058,138.0769784172662,0.2815761184156145,137.7,137.7,0.09271294602573266,triage
triage_snapshot.oxygen_saturation,261,139,95.45134099616858,95.25179856115108,-0.19954243501750568,95.9,95.4,-0.08767095537095254,triage
triage_snapshot.diastolic_bp,261,139,73.4176245210728,72.68489208633095,-0.7327324347418482,73.0,73.7,-0.086291068994435,triage
cand_cns_depression_score,261,139,0.8045977011494253,0.8633093525179856,0.05871165136856027,1.0,1.0,0.08601361753114861,triage
note_onset_minutes,200,109,134.47,140.651376146789,6.181376146789006,126.0,140.0,0.08559728156863293,triage
note_onset_bucket_slow,261,139,0.22988505747126436,0.26618705035971224,0.036301992888447876,0.0,0.0,0.0845567601182583,triage
note_location_medical_tent,261,139,0.13409961685823754,0.1079136690647482,-0.026185947793489345,0.0,0.0,-0.07903686478450471,triage
cand_news_rr,261,139,1.524904214559387,1.6258992805755397,0.10099506601615271,2.0,2.0,0.07740050880070708,triage
triage_lab_glucose,261,139,112.30229885057472,114.04748201438849,1.7451831638137776,110.6,112.1,0.07485074832160614,triage
triage_sympathomimetic_combo,261,139,0.27586206896551724,0.30935251798561153,0.03349044902009429,0.0,0.0,0.07385687236157208,triage
note_is_festival_template,261,139,0.6934865900383141,0.7266187050359713,0.033132114997657114,1.0,1.0,0.07251288293805289,triage
festival_note_keyword_hit,261,139,0.6934865900383141,0.7266187050359713,0.033132114997657114,1.0,1.0,0.07251288293805289,triage
note_location_none,261,139,0.3065134099616858,0.2733812949640288,-0.033132114997657,0.0,0.0,-0.07251288293805264,triage
triage_lab_anion_gap,261,139,11.659003831417625,11.929496402877696,0.2704925714600712,11.0,11.6,0.06983210693634775,triage
triage_mh_psych,261,139,0.19540229885057472,0.22302158273381295,0.027619283883238227,0.0,0.0,0.06828008305802193,triage
triage_mh_cardiac,261,139,0.21455938697318008,0.18705035971223022,-0.027509027260949864,0.0,0.0,-0.06800722001770729,triage
cand_sympathetic_score,261,139,1.3103448275862069,1.39568345323741,0.0853386256512032,1.0,1.0,0.066517137792969,triage
note_char_len,261,139,91.98084291187739,93.20143884892086,1.2205959370434698,96.0,98.0,0.06499694061592061,triage
is_festival_patient,261,139,0.7011494252873564,0.7266187050359713,0.025469279748614904,1.0,1.0,0.05600866301133006,triage
triage_temp_above_38,261,139,0.24904214559386972,0.2733812949640288,0.024339149370159074,0.0,0.0,0.05554343050575576,triage
note_arousal_density,261,139,0.014377441355128978,0.012281423612358861,-0.0020960177427701166,0.0,0.0,-0.05118452995360864,triage
cand_shock_index_age,261,139,32.23420859577251,33.00699326605888,0.7727846702863701,29.693181818181817,30.34627492130116,0.04851755043183169,triage
cand_news_temp,261,139,0.44061302681992337,0.48201438848920863,0.041401361669285264,0.0,0.0,0.048249937579081845,triage
triage_temperature_c,261,139,37.56379310344828,37.59345323741007,0.029660133961783686,37.4,37.5,0.04603238821237957,triage
note_onset_bucket_fast,261,139,0.13793103448275862,0.1223021582733813,-0.01562887620937732,0.0,0.0,-0.04599400910758979,triage
note_onset_bucket_unknown,261,139,0.23371647509578544,0.2158273381294964,-0.01788913696628905,0.0,0.0,-0.04257460834299977,triage
note_has_onset_phrase,261,139,0.7662835249042146,0.7841726618705036,0.01788913696628902,1.0,1.0,0.042574608342999705,triage
triage_pain_scale,261,139,5.199233716475096,5.294964028776978,0.09573031230188267,5.0,5.0,0.035218998268749434,triage
cand_rate_pressure_product,261,139,12369.261149425289,12256.94223021583,-112.31891920945964,11637.44,11744.05,-0.035026008308089496,triage
triage_mh_renal,261,139,0.1111111111111111,0.1223021582733813,0.011191047162270193,0.0,0.0,0.03499631426004613,triage
triage_age,261,139,36.88505747126437,36.410071942446045,-0.4749855288183227,38.0,33.0,-0.03226052515057638,triage
cand_poc_abn_count,261,139,1.160919540229885,1.1942446043165467,0.03332506408666158,1.0,1.0,0.0308975146145549,triage
triage_lab_potassium,261,139,4.390842911877394,4.4048201438848915,0.013977232007497342,4.37,4.41,0.029937687016087525,triage
cand_news_spo2,261,139,0.578544061302682,0.60431654676259,0.025772485459907957,0.0,0.0,0.02974071498899747,triage
arrival_dow,261,139,2.4559386973180075,2.5035971223021583,0.04765842498415074,2.0,3.0,0.02844193294496811,triage
cand_na_extreme,261,139,0.1685823754789272,0.17266187050359713,0.004079495024669921,0.0,0.0,0.010833286997020726,triage
note_onset_bucket_medium,261,139,0.39846743295019155,0.39568345323741005,-0.0027839797127814925,0.0,0.0,-0.005674558895530975,triage
note_perceptual_density,261,139,0.017510761632766676,0.017694822470197213,0.0001840608374305379,0.0,0.0,0.00462063495155659,triage
triage_respiratory_rate,261,139,23.08390804597701,23.102158273381296,0.018250227404283947,21.7,22.6,0.0025394338336836957,triage
note_location_campground,261,139,0.13026819923371646,0.12949640287769784,-0.0007717963560186225,0.0,0.0,-0.0022891972787637866,triage
triage_chief_agitation,261,139,0.10727969348659004,0.1079136690647482,0.0006339755781581552,0.0,0.0,0.002041624790653894,triage
arrival_day_of_festival,261,139,2.3563218390804597,360.50359712230215,358.1472752832217,3.0,361.0,256.39031899391875,fourh
supp_o2_weaned,261,139,0.13409961685823754,0.2589928057553957,0.12489318889715814,0.0,0.0,0.33007186188335613,fourh
abs_diff_supp_o2,261,139,0.1532567049808429,0.2805755395683453,0.1273188345875024,0.0,0.0,0.32277000423663954,fourh
