split,model,arch,metric,value,rank
cv,logreg,direct,macro_auc,0.6283499760211458,2
cv,logreg,casc_A_tier12,macro_auc,0.6150265405547799,3
cv,logreg,casc_B_K_prev,macro_auc,0.6297621970191933,1
cv,logreg,casc_C_K_TC,macro_auc,0.6097596243938991,4
cv,rforest,direct,macro_auc,0.677028472280021,3
cv,rforest,casc_A_tier12,macro_auc,0.6808960265336361,2
cv,rforest,casc_B_K_prev,macro_auc,0.6824726017551737,1
cv,rforest,casc_C_K_TC,macro_auc,0.6767129211223571,4
cv,hgb,direct,macro_auc,0.6413504479077325,2
cv,hgb,casc_A_tier12,macro_auc,0.6191906240172784,4
cv,hgb,casc_B_K_prev,macro_auc,0.6679108421556691,1
cv,hgb,casc_C_K_TC,macro_auc,0.6391398912870587,3
temporal,logreg,direct,macro_auc,0.6002958415333277,4
temporal,logreg,casc_A_tier12,macro_auc,0.6087356737780819,2
temporal,logreg,casc_B_K_prev,macro_auc,0.6602917118260555,1
temporal,logreg,casc_C_K_TC,macro_auc,0.6076190484679083,3
temporal,rforest,direct,macro_auc,0.6893964804198397,4
temporal,rforest,casc_A_tier12,macro_auc,0.7082433948451747,3
temporal,rforest,casc_B_K_prev,macro_auc,0.7192381908198093,1
temporal,rforest,casc_C_K_TC,macro_auc,0.7123678434252684,2
temporal,hgb,direct,macro_auc,0.6846638477700769,4
temporal,hgb,casc_A_tier12,macro_auc,0.6894288941654069,3
temporal,hgb,casc_B_K_prev,macro_auc,0.7249765230598101,1
temporal,hgb,casc_C_K_TC,macro_auc,0.6989305484251257,2
cv,logreg,direct,macro_prauc,0.3426321015703444,1
cv,logreg,casc_A_tier12,macro_prauc,0.3274008535940228,3
cv,logreg,casc_B_K_prev,macro_prauc,0.3380004791300966,2
cv,logreg,casc_C_K_TC,macro_prauc,0.3263498339273799,4
cv,rforest,direct,macro_prauc,0.3648098198387227,4
cv,rforest,casc_A_tier12,macro_prauc,0.390523823342729,1
cv,rforest,casc_B_K_prev,macro_prauc,0.387585936345062,3
cv,rforest,casc_C_K_TC,macro_prauc,0.3891821952636997,2
cv,hgb,direct,macro_prauc,0.3585551748278947,2
cv,hgb,casc_A_tier12,macro_prauc,0.3356994874780891,4
cv,hgb,casc_B_K_prev,macro_prauc,0.3757580353601264,1
cv,hgb,casc_C_K_TC,macro_prauc,0.3503404664369643,3
temporal,logreg,direct,macro_prauc,0.3576469769447196,4
temporal,logreg,casc_A_tier12,macro_prauc,0.3745018194293483,2
temporal,logreg,casc_B_K_prev,macro_prauc,0.3913178266621118,1
temporal,logreg,casc_C_K_TC,macro_prauc,0.3680968746031726,3
temporal,rforest,direct,macro_prauc,0.4174534313529652,4
temporal,rforest,casc_A_tier12,macro_prauc,0.4478110702257873,3
temporal,rforest,casc_B_K_prev,macro_prauc,0.453676578309696,2
temporal,rforest,casc_C_K_TC,macro_prauc,0.4539302610725184,1
temporal,hgb,direct,macro_prauc,0.4186407477032023,3
temporal,hgb,casc_A_tier12,macro_prauc,0.4179171135382842,4
temporal,hgb,casc_B_K_prev,macro_prauc,0.4466933235985482,1
temporal,hgb,casc_C_K_TC,macro_prauc,0.4304236938712211,2
cv,logreg,direct,accuracy,0.367816091954023,4
cv,logreg,casc_A_tier12,accuracy,0.4099616858237548,1
cv,logreg,casc_B_K_prev,accuracy,0.4099616858237548,1
cv,logreg,casc_C_K_TC,accuracy,0.3984674329501915,3
cv,rforest,direct,accuracy,0.4329501915708812,4
cv,rforest,casc_A_tier12,accuracy,0.4865900383141762,1
cv,rforest,casc_B_K_prev,accuracy,0.4827586206896552,3
cv,rforest,casc_C_K_TC,accuracy,0.4865900383141762,1
cv,hgb,direct,accuracy,0.4521072796934866,1
