split,model,arch,logloss,accuracy,macro_auc,macro_prauc,prevalence_none,auc_none,prauc_none,brier_none,bss_none,prevalence_kraken,auc_kraken,prauc_kraken,brier_kraken,bss_kraken,prevalence_triton,auc_triton,prauc_triton,brier_triton,bss_triton,prevalence_coral,auc_coral,prauc_coral,brier_coral,bss_coral
cv,logreg,direct,1.9144036715925234,0.367816091954023,0.6283499760211458,0.3426321015703444,0.39846743295019155,0.6167932386085253,0.5285822457884428,0.26892895413564266,-0.12198121537690554,0.2222222222222222,0.5870562255817904,0.2753631800136849,0.23053195115981923,-0.3337920031389541,0.19540229885057472,0.642296918767507,0.27209597398292285,0.2019761557774098,-0.28467018746152495,0.1839080459770115,0.6672535211267606,0.2944870064963273,0.18187559966326158,-0.21181022346058698
cv,logreg,cascade,1.8559834163887616,0.4099616858237548,0.6150265405547799,0.3274008535940228,0.39846743295019155,0.6241425771680548,0.5127332009804327,0.27019613395429487,-0.1272679349032657,0.2222222222222222,0.5333786308816035,0.2665080299636579,0.21956771887627627,-0.27035608778417,0.19540229885057472,0.657142857142857,0.27321603348956675,0.18759004397060752,-0.19316726286851127,0.1839080459770115,0.6454420970266042,0.2571461499424338,0.17053975082937783,-0.13628113910876816
cv,rforest,direct,1.2310580245099016,0.4521072796934866,0.6811648151011405,0.37094249678702595,0.39846743295019155,0.7122733953944145,0.5619957850945361,0.21266465600602255,0.11275544881269828,0.2222222222222222,0.6003906913538305,0.2895649794188222,0.1729177119874841,-0.000452476499015253,0.19540229885057472,0.7361344537815127,0.3453313789926864,0.14308266756692445,0.08992209175289823,0.1839080459770115,0.6758607198748043,0.2868778436420591,0.14494747762226587,0.0342363924974205
cv,rforest,cascade,1.2136508903230505,0.4904214559386973,0.678261030617357,0.37736351595754014,0.39846743295019155,0.706577658010779,0.5504708142514776,0.20897313809997664,0.1281565935504343,0.2222222222222222,0.5638695430609819,0.29266869462309913,0.17323637422367205,-0.0022961651512454218,0.19540229885057472,0.7466853408029879,0.35261350635066874,0.14057811848798962,0.10585228669277869,0.1839080459770115,0.6959115805946792,0.31370104860491493,0.13989165274773668,0.06792260594399746
cv,hgb,direct,1.982959177446144,0.4521072796934866,0.6412662669795319,0.35842088063484057,0.39846743295019155,0.6651763841254287,0.5402072984494324,0.2633470185248697,-0.09869318036089236,0.2222222222222222,0.5892644810599627,0.29396224201457855,0.21318034593977536,-0.2334005729372719,0.19540229885057472,0.6711484593837534,0.3198213270216371,0.19688433906836184,-0.2522836658894376,0.1839080459770115,0.6394757433489828,0.2796926550537142,0.18759071190009702,-0.24988917110196684
cv,hgb,cascade,2.0012667585520707,0.39080459770114945,0.6178445665167712,0.3344877314020666,0.39846743295019155,0.6673811856932876,0.5312210968980677,0.26515538277464296,-0.10623774069031433,0.2222222222222222,0.5362663495838288,0.2637596717672603,0.21868836689753476,-0.2652684084785941,0.19540229885057472,0.6743230625583566,0.3020901784326629,0.1932491481234034,-0.22916201861011798,0.1839080459770115,0.593407668231612,0.2408799785102756,0.20759213343466965,-0.3831556848301183
temporal,logreg,direct,2.1634601842289483,0.35135135135135137,0.6002958415333277,0.3576469769447196,0.3918918918918919,0.6421455938697318,0.5903697231605658,0.2639821485683253,-0.10771359813038273,0.32432432432432434,0.54,0.3966604078874773,0.2805487831038931,-0.2802376135640987,0.16216216216216217,0.6532258064516129,0.3024465792461317,0.23375379065266397,-0.7204781688360051,0.12162162162162163,0.5658119658119658,0.14111119748470352,0.14715340611082686,-0.37745649891091926
temporal,logreg,cascade,1.949002059002137,0.43243243243243246,0.6087356737780819,0.3745018194293483,0.3918918918918919,0.6781609195402297,0.5548850698187647,0.24434618108504627,-0.025317768292500764,0.32432432432432434,0.5758333333333334,0.4943797684097819,0.2373074086092743,-0.08291280795365497,0.16216216216216217,0.6612903225806451,0.3192794007883535,0.19256618274509868,-0.41732851708623686,0.12162162162162163,0.5196581196581196,0.12946303870049314,0.13404222980098038,-0.25472692374387784
temporal,rforest,direct,1.2073857933565812,0.4189189189189189,0.6979101660914786,0.427586491497336,0.3918918918918919,0.7103448275862068,0.6463545814291265,0.21020993829264853,0.11792366123330011,0.32432432432432434,0.6133333333333334,0.42165261336823756,0.2190195957109879,0.0005405782388585578,0.16216216216216217,0.7688172043010753,0.3517551445789415,0.12535773049022625,0.07734014494021657,0.12162162162162163,0.6991452991452991,0.2905836266130384,0.11062444017637199,-0.03552040069369733
temporal,rforest,cascade,1.2071329564335969,0.4594594594594595,0.7094058866451805,0.4383672547503452,0.3918918918918919,0.7187739463601532,0.6105217181166697,0.21075789731870154,0.1156243327837474,0.32432432432432434,0.6441666666666668,0.4778978757210387,0.22780835470084762,-0.039565458618201266,0.16216216216216217,0.7755376344086022,0.35585351650539826,0.12297651130207286,0.0948664302551735,0.12162162162162163,0.6991452991452991,0.30919590865827423,0.10472261643087209,0.0197247049992213
