tau_drug,tau_kraken,accuracy,macro_f1,kraken_sens,kraken_spec,kraken_tp,kraken_fp,none_sens,none_spec
0.57,0.3,0.45977011494252873,0.37704131743055064,0.2413793103448276,0.8177339901477833,14,37,0.7788461538461539,0.6815286624203821
0.57,0.32,0.47509578544061304,0.3981551945088126,0.22413793103448276,0.8522167487684729,13,30,0.7788461538461539,0.6815286624203821
0.57,0.34,0.4827586206896552,0.40787092805550496,0.20689655172413793,0.8719211822660099,12,26,0.7788461538461539,0.6815286624203821
0.57,0.36,0.48659003831417624,0.4125397079324451,0.20689655172413793,0.8817733990147784,12,24,0.7788461538461539,0.6815286624203821
0.57,0.38,0.49808429118773945,0.4267969721955242,0.20689655172413793,0.9064039408866995,12,19,0.7788461538461539,0.6815286624203821
0.57,0.4,0.4942528735632184,0.42085052654201593,0.1896551724137931,0.9064039408866995,11,19,0.7788461538461539,0.6815286624203821
0.57,0.42,0.49808429118773945,0.4254523297455921,0.1896551724137931,0.916256157635468,11,17,0.7788461538461539,0.6815286624203821
0.57,0.44,0.49808429118773945,0.4253796412181894,0.1896551724137931,0.9211822660098522,11,16,0.7788461538461539,0.6815286624203821
0.57,0.46,0.49808429118773945,0.4235484586026931,0.1724137931034483,0.9359605911330049,10,13,0.7788461538461539,0.6815286624203821
0.57,0.48,0.49808429118773945,0.42314268930587673,0.1724137931034483,0.9556650246305419,10,9,0.7788461538461539,0.6815286624203821
0.57,0.5,0.49808429118773945,0.42303555959348393,0.1724137931034483,0.9605911330049262,10,8,0.7788461538461539,0.6815286624203821
0.57,0.52,0.4942528735632184,0.41415451281640797,0.13793103448275862,0.9655172413793104,8,7,0.7788461538461539,0.6815286624203821
0.57,0.54,0.48659003831417624,0.3994045449873387,0.10344827586206896,0.9753694581280788,6,5,0.7788461538461539,0.6815286624203821
0.57,0.56,0.4827586206896552,0.3913709172114892,0.08620689655172414,0.9852216748768473,5,3,0.7788461538461539,0.6815286624203821
0.57,0.58,0.47509578544061304,0.3743547703791887,0.05172413793103448,0.9950738916256158,3,1,0.7788461538461539,0.6815286624203821
0.57,0.6,0.47509578544061304,0.3743547703791887,0.05172413793103448,0.9950738916256158,3,1,0.7788461538461539,0.6815286624203821
0.57,0.62,0.47126436781609193,0.365817201488199,0.034482758620689655,0.9950738916256158,2,1,0.7788461538461539,0.6815286624203821
0.57,0.64,0.47126436781609193,0.365817201488199,0.034482758620689655,0.9950738916256158,2,1,0.7788461538461539,0.6815286624203821
0.57,0.66,0.47126436781609193,0.365817201488199,0.034482758620689655,0.9950738916256158,2,1,0.7788461538461539,0.6815286624203821
0.57,0.68,0.4674329501915709,0.35703245451742216,0.017241379310344827,0.9950738916256158,1,1,0.7788461538461539,0.6815286624203821
0.57,0.7,0.4674329501915709,0.35703245451742216,0.017241379310344827,0.9950738916256158,1,1,0.7788461538461539,0.6815286624203821
0.57,0.72,0.4674329501915709,0.35703245451742216,0.017241379310344827,0.9950738916256158,1,1,0.7788461538461539,0.6815286624203821
0.57,0.74,0.46360153256704983,0.34728700672849605,0.0,1.0,0,0,0.7788461538461539,0.6815286624203821
0.57,0.76,0.46360153256704983,0.34728700672849605,0.0,1.0,0,0,0.7788461538461539,0.6815286624203821
0.57,0.78,0.46360153256704983,0.34728700672849605,0.0,1.0,0,0,0.7788461538461539,0.6815286624203821
0.57,0.8,0.46360153256704983,0.34728700672849605,0.0,1.0,0,0,0.7788461538461539,0.6815286624203821
0.57,0.82,0.46360153256704983,0.34728700672849605,0.0,1.0,0,0,0.7788461538461539,0.6815286624203821
0.57,0.84,0.46360153256704983,0.34728700672849605,0.0,1.0,0,0,0.7788461538461539,0.6815286624203821
0.57,0.86,0.46360153256704983,0.34728700672849605,0.0,1.0,0,0,0.7788461538461539,0.6815286624203821
0.57,0.88,0.46360153256704983,0.34728700672849605,0.0,1.0,0,0,0.7788461538461539,0.6815286624203821
0.57,0.9,0.46360153256704983,0.34728700672849605,0.0,1.0,0,0,0.7788461538461539,0.6815286624203821
0.57,0.92,0.46360153256704983,0.34728700672849605,0.0,1.0,0,0,0.7788461538461539,0.6815286624203821
0.57,0.94,0.46360153256704983,0.34728700672849605,0.0,1.0,0,0,0.7788461538461539,0.6815286624203821
0.57,0.96,0.46360153256704983,0.34728700672849605,0.0,1.0,0,0,0.7788461538461539,0.6815286624203821
0.57,0.98,0.46360153256704983,0.34728700672849605,0.0,1.0,0,0,0.7788461538461539,0.6815286624203821
