tau_drug,tau_kraken,accuracy,macro_f1,kraken_sens,kraken_spec,none_sens,none_spec,triton_sens,triton_spec,coral_sens,coral_spec
0.05,0.05,0.21839080459770116,0.08990536277602523,0.9827586206896551,0.0049261083743842365,0.0,1.0,0.0,1.0,0.0,0.9906103286384976
0.05,0.07,0.21839080459770116,0.09018987341772151,0.9827586206896551,0.009852216748768473,0.0,1.0,0.0,0.9952380952380953,0.0,0.9906103286384976
0.05,0.09,0.21455938697318008,0.08945686900958466,0.9655172413793104,0.019704433497536946,0.0,1.0,0.0,0.9857142857142858,0.0,0.9859154929577465
0.05,0.11,0.21839080459770116,0.099386816555953,0.9655172413793104,0.03940886699507389,0.0,1.0,0.0196078431372549,0.9761904761904762,0.0,0.9812206572769953
0.05,0.13,0.21455938697318008,0.11333646984553176,0.9137931034482759,0.054187192118226604,0.0,1.0,0.0392156862745098,0.9714285714285714,0.020833333333333332,0.9671361502347418
0.05,0.15,0.21839080459770116,0.12169542709232097,0.9137931034482759,0.06896551724137931,0.0,1.0,0.058823529411764705,0.9666666666666667,0.020833333333333332,0.9624413145539906
0.05,0.17,0.22988505747126436,0.14557189113503105,0.9137931034482759,0.10344827586206896,0.0,1.0,0.09803921568627451,0.9571428571428572,0.041666666666666664,0.9530516431924883
0.05,0.19,0.23371647509578544,0.15297214315833862,0.9137931034482759,0.12807881773399016,0.0,1.0,0.09803921568627451,0.9428571428571428,0.0625,0.9483568075117371
0.05,0.21,0.24904214559386972,0.18605895254908256,0.896551724137931,0.16748768472906403,0.0,1.0,0.1568627450980392,0.9380952380952381,0.10416666666666667,0.9342723004694836
0.05,0.23,0.26053639846743293,0.20923896499238964,0.8793103448275862,0.20689655172413793,0.0,1.0,0.17647058823529413,0.9285714285714286,0.16666666666666666,0.92018779342723
0.05,0.25,0.26053639846743293,0.2173780487804878,0.8275862068965517,0.26108374384236455,0.0,1.0,0.21568627450980393,0.9142857142857143,0.1875,0.8826291079812206
0.05,0.27,0.26436781609195403,0.22502665910380035,0.8103448275862069,0.2857142857142857,0.0,1.0,0.21568627450980393,0.9047619047619048,0.22916666666666666,0.8732394366197183
0.05,0.29,0.2720306513409962,0.23400988810824877,0.8103448275862069,0.31527093596059114,0.0,1.0,0.21568627450980393,0.8952380952380953,0.2708333333333333,0.863849765258216
0.05,0.31,0.2796934865900383,0.24798634951565263,0.7758620689655172,0.3497536945812808,0.0,1.0,0.23529411764705882,0.8904761904761904,0.3333333333333333,0.8450704225352113
0.05,0.33,0.28735632183908044,0.2633172114253502,0.7413793103448276,0.3694581280788177,0.0,1.0,0.3137254901960784,0.8809523809523809,0.3333333333333333,0.8450704225352113
0.05,0.35,0.2950191570881226,0.27153840816109265,0.7413793103448276,0.39408866995073893,0.0,1.0,0.3333333333333333,0.8809523809523809,0.3541666666666667,0.8309859154929577
